SCHOOL_NAME,COLUMN_NAME,OLD_DATA,NEW_DATA
Alexander Academy,ADDRESS,Yes,200 - 688 Hastings Street West
Alexander Academy,CITY,,"Vancouver, BC"
Alexander Academy,POSTAL,No,V6B 1P1
Alexander Academy,ASSOC,Group 4,AMG
Fraser River Christian School,ADDRESS,Yes,8250 Hwy 97 South
Fraser River Christian School,CITY,,"Quesnel, BC"
Fraser River Christian School,POSTAL,No,V2J 6M4
Fraser River Christian School,ASSOC,Group 3,None
Aatse Davie School,ADDRESS,Yes,General Delivery
Aatse Davie School,CITY,,"Fort Ware, BC"
Aatse Davie School,POSTAL,No,V0J 3B0
Aatse Davie School,ASSOC,Group 2,None
